;21.00_22.00_20.00_NH3+_C:;22.00_23.00_21.00_NH3+_C:;26.00_29.00_17.00_NH3+_C:;27.00_24.00_14.00_NH3+_C:;27.00_30.00_10.00_NH3+_C:;27.00_33.00_16.00_NH3+_C:;29.00_24.00_16.00_NH3+_C:;30.00_30.00_22.00_NH3+_C:;31.00_23.00_15.00_NH3+_C:;31.00_29.00_24.00_NH3+_C:;32.00_34.00_19.00_NH3+_C:;27.00_26.00_19.00_NH3+_LJ:;27.00_36.00_14.00_NH3+_LJ:;30.00_22.00_16.00_NH3+_LJ:;30.00_33.00_29.00_NH3+_LJ:;32.00_24.00_21.00_NH3+_LJ:;32.00_31.00_24.00_NH3+_LJ:;33.00_24.00_21.00_NH3+_LJ:
Mol07_PAC_aligned;47.39575619645917;87.5376628314267;-14.869996566130602;-1.5738359684835892;-4.847282479237998;-6.216017888832508;5.5886801650674975;5.066166169672529;3.7487822507182926;6.4099329069096544;0.1658636964988371;128.76348133287146;-0.0149735006744454;-0.1681083968813327;-0.0257458295647046;-0.2409762709634302;-0.0590691611508914;-0.1195798939101934
Mol08_PAC_aligned;17.128217155208656;37.44043915548629;127.2048382172512;12.87809099996712;-7.843414641007586;1.2429547100752174;27.188030131838627;-1.1050463648656184;14.932751734330663;-4.061126258489232;8.888546665678845;128.5395970390858;-0.4647208174354224;-0.2807595882695307;-0.1079521668329067;-1.855168180046364;-1.1062426492168422;-0.9858628714735964
Mol15_PAC_aligned;18.016436165401583;43.36878844075604;-1.647352934085708;-4.281599356162305;-14.953350278286509;-43.19152157813825;11.840880923288822;24.828868628974533;6.161073797421107;17.26873466385601;2.2261920023729527;128.5772318487495;-3.758581824205203;-0.1738632925766151;-0.0246868865391959;-0.1635129536300486;-0.1069221904969608;-0.085332987337389
Mol19_PAC_aligned;14.529299500412757;42.48335349392609;98.27722363349868;18.846305106330696;6.364284867182935;22.421308998254318;27.662302084054616;22.131174629634305;13.709469084951188;12.616606836455716;-10.288687111585348;128.566258036688;-0.4456080996231634;-0.5379855149838646;-0.080035075237632;-0.976007780154783;-1.268577734623951;-1.915865176457129
Mol25_PAC_aligned;18.75481939361908;43.40575301565774;59.37960978646935;21.73504348846948;5.684304161670198;-13.528552146027511;35.99552467132072;3.5913353632175355;19.34566610680772;3.0747364072340595;-16.602974096297245;128.5283867534441;-2.3014003563658525;-0.985808385879708;-0.031880768934857;-1.6282495867130231;-0.3916336119297141;-1.1710651239615577
Mol29_PAC_aligned;25.302519611787176;51.67478413351009;126.37604531010442;15.698596200371938;-11.92947646730004;16.35547287079067;21.68255222278181;-12.21336609063474;11.896624796497482;-2.613851414535464;3.264354063992034;128.65442822547104;4.449164197938133;-0.181560802860249;-0.0613661666103973;-0.160240027408668;-0.1574290032912682;-0.0853470028495832
Mol34_PAC_aligned;10.290751237939531;38.353090902845295;126.5696821719084;-20.874821919291577;42.66450052999487;27.4761994157343;-0.6308500907050938;24.157616708368856;0.2757988708577539;14.515415994710509;9.675067994302106;128.60049227618188;-0.1655526583029683;-0.8190103732180941;-0.0094506251414581;-0.8967985383814625;-0.1080402228349459;-0.8200311440977673
