;21.00_22.00_20.00_NH3+_C:;22.00_23.00_21.00_NH3+_C:;26.00_29.00_17.00_NH3+_C:;27.00_24.00_14.00_NH3+_C:;27.00_30.00_10.00_NH3+_C:;27.00_33.00_16.00_NH3+_C:;29.00_24.00_16.00_NH3+_C:;30.00_30.00_22.00_NH3+_C:;31.00_23.00_15.00_NH3+_C:;31.00_29.00_24.00_NH3+_C:;32.00_34.00_19.00_NH3+_C:;27.00_26.00_19.00_NH3+_LJ:;27.00_36.00_14.00_NH3+_LJ:;30.00_22.00_16.00_NH3+_LJ:;30.00_33.00_29.00_NH3+_LJ:;32.00_24.00_21.00_NH3+_LJ:;32.00_31.00_24.00_NH3+_LJ:;33.00_24.00_21.00_NH3+_LJ:
Mol13_PAC_aligned;15.656461056167874;36.80133590266519;43.96673705405978;16.784186300938494;10.487814683771282;12.184438441791109;-27.417544633335083;-55.91028327604513;11.926058060101072;-34.08421527611453;-65.23835654246793;128.7575108253319;-0.2170928829270789;2.733898544029376;-0.1188889168560081;-1.0946629400952936;92.86229480131706;-0.6407275598912043
Mol39_PAC_aligned;22.92121973195796;37.822235101078576;104.05664594782202;-4.47109496115948;-15.023418476864665;30.52061871931572;-18.228080476670385;5.789540375160197;-14.292252210221466;3.742076022431899;7.445921448880046;128.64545637819262;-0.4480557170759111;-0.6309156274640202;-0.0083841363334292;-0.2387987832978349;-0.0561793730970828;-0.1370214725528524
Mol17_PAC_aligned;-1.5334148982996822;19.20838136686762;32.17793494351232;32.146058256349086;-19.96836840843008;-17.059190414022908;60.77009215809967;5.520252208823693;27.25893946212544;5.247327217122642;-1.2572887060359743;128.60590034157855;-0.0442866991751631;16.3368598604422;-0.0062936793882704;-0.2950232118780281;-0.0303147686958232;-0.157821978627133
Mol33_PAC_aligned;18.642777978858376;41.27997130789535;98.95698097961305;-96.48296731131197;16.026636018163835;9.59473554323804;-60.71076089035499;3.8244195860270622;-17.935216866318072;2.59242349611918;2.538866771269469;128.73413414966285;-0.053218060499404;-3.910181392065308;-0.0058773824192835;-0.2171438313388117;-0.0296340333186247;-0.1207156796954452
Mol22_PAC_aligned;14.065935857831205;34.37806996245861;81.04543600300461;19.48074166549252;7.015887264470263;0.663672973256876;30.14522683399068;-18.21933835549361;18.80098283139675;-14.610286728596575;2.132278471967183;128.5563973418797;-0.0860224420643052;-1.0165594122902375;-0.0824758372288589;-1.1156876041272477;128.1945178127678;-0.3324506210319996
Mol09_PAC_aligned;14.03398264884569;38.61738154589887;87.49681542912703;-25.321895897566066;2.159933119242972;27.137997646907028;77.30975046195684;14.896686119098284;5.389949590133817;5.031703301059968;9.4398990097778;128.68460417141128;-0.5015696207017436;1.3352842402385854;-0.0136132857370492;18.082900865818583;-0.1704272157380879;-0.3813585197817264
Mol41_PAC_aligned;5.012022040559506;31.33360251965721;101.27002958618372;-20.545097342764425;3.250460088642175;23.12976552488323;-32.94716223205251;2.4468821507754406;-7.554177361668248;2.4266970413343394;127.0704648205776;128.5408440024985;-0.1631105005945057;127.07048959797898;-0.0230108878326256;-3.30748560677746;-0.8502511198761652;-2.183519827843384
Mol14_PAC_aligned;22.73345802983058;43.35472356956338;59.81089356997676;30.743027070918703;11.60143105319618;27.27040187247956;48.51859221898634;33.02747645043736;21.80723605926439;7.126119044006579;10.970631022675857;128.7025120506452;-0.2930919006595265;-1.7229874581867557;-0.1949042703526252;-0.9206569380182582;-3.002354692528353;-0.5684156431870422
Mol32_PAC_aligned;10.880752836865128;33.86059420928066;126.54907315270644;-22.216926565571;48.47885235795687;37.21457003185643;-4.015367138425837;4.223841576303447;-2.343038498805313;6.747163954055873;3.604842853191876;128.41632135221192;-0.171347385346691;-1.2489026810199857;-0.018803828784078;-1.11804505941539;-0.7961858015209841;-1.3149278273838745
Mol20_PAC_aligned;24.22534631862233;49.96028637048954;-15.224917668272193;39.3434909887758;-24.96746565184833;-25.560476290137927;35.44953571315723;10.17736439665943;18.46438049329572;9.347759431169454;-0.374907648651801;128.43305056582312;-0.0951623843846378;-0.549210296651372;-0.0061971305307784;-0.1616425959576508;-0.0304389860371049;-0.0851708279060608
Mol24_PAC_aligned;14.23137132640659;32.315900133801534;98.5382694975894;6.732922507209133;4.9838882825893736;-11.48914520099235;7.048758374125879;-24.354453758708228;2.845331835331546;-16.38168782163961;-1.2597518945801411;128.55471620358293;-1.387457961927001;-0.1846547357965726;-0.5585781892930495;-0.1883654271806214;-1.0851053823981436;-0.1018250312231905
Mol26_PAC_aligned;12.66301404285941;32.44220777118636;126.21537193178706;9.987114671819516;10.757307478500296;33.38044611110121;12.528283033838465;-111.95559139556984;2.0493897700799426;10.537179940616872;9.780887341962448;128.73620467356915;-0.2221938577369763;-0.2761784826829535;-1.803877956086997;-0.553039278922239;129.7050141002387;-0.354572911848634
Mol23_PAC_aligned;21.990443893067443;47.37409363297948;26.668750636060626;8.593068485430472;-7.962011850090791;-36.697038250746274;21.303896737744846;11.66957214326409;11.426310746643876;13.246093761941507;-17.239333823281417;128.52670464490197;-0.5620206967892123;-0.1962300084166322;-0.0631390313816476;-0.2367132240024717;-0.513183732459142;-0.1293087031333166
Mol12_PAC_aligned;10.95229672567117;31.029186722711867;39.18798831919725;34.8550568431001;7.817318050191002;-8.61097524985991;21.8473752389431;11.937625994325286;9.566852374457074;7.038778315703636;24.63998444921569;128.68678533474818;-1.5439004559819802;-1.212817913435153;-0.0324751239197095;-0.3270066529887226;-0.2957545255826162;-0.2040681491127908
Mol21_PAC_aligned;15.746109039248884;26.98982658385644;126.63597808649175;4.450929317105478;5.828842880839531;39.175828423816384;9.013153930319936;-17.107935663413663;3.015167095706582;24.42722126602728;1.5024285234690709;128.53188789860607;-0.2170390992229764;-0.2632355647601957;1.6054729831041104;-0.4199908400081032;-4.259048433083691;-0.2621461584198054
Mol40_PAC_aligned;12.75452375607053;35.41156743688419;126.18580678169553;-58.05363107461511;20.531184879924524;28.338526100788;-29.380152977873703;18.56691017203888;10.41104111219328;10.727999065011296;6.280675512767278;128.527077642759;-0.5930288670777789;-1.1824943853887615;-0.010214461395244;-0.2711177314251807;-0.1084828326501974;-0.1758945239317476
Mol10_PAC_aligned;22.74962279859288;46.86142643640999;126.29982033660443;-28.72541847454231;15.954608520701273;14.261043420551095;-30.819181876746068;-1.2201084220400649;-31.76834474716258;-0.9255621255094528;3.5340121022853346;128.6452017614777;-0.0488274122714223;127.45291668215337;-0.0071087754093034;-0.357078994613318;-0.0451168096363065;-0.2093500119457982
Mol35_PAC_aligned;16.738535529756057;34.926996015414815;74.4949140096974;-27.46609951761809;-8.044785814795421;22.99504005214696;1.3751780803454032;-1.3966632323716863;15.7328088700127;-4.128732343725005;20.326289964561628;128.46329620649936;-0.2185125267946538;-1.1401147740348123;-0.027555811296759;-1.030303557865048;-1.631991583491988;-0.7772125459470397
