;21.00_14.00_23.00_NH3+_C:;22.00_13.00_16.00_NH3+_C:;28.00_15.00_24.00_NH3+_C:;15.00_20.00_18.00_NH3+_LJ:;18.00_9.00_30.00_NH3+_LJ:;21.00_7.00_26.00_NH3+_LJ:;21.00_11.00_22.00_NH3+_LJ:;22.00_10.00_18.00_NH3+_LJ:;22.00_21.00_19.00_NH3+_LJ:;25.00_10.00_24.00_NH3+_LJ:;28.00_17.00_18.00_NH3+_LJ:
Mol01_PAC_aligned;17.647857684072786;17.81805423018076;8.957130022356592;-4.849019087821657;-0.0043032776486318;-0.0080579876494846;-0.2719823958172394;-0.3531103779752832;131.8946680925507;-0.019052923371288;-0.0975167739721555
Mol07_PAC_aligned;3.563645605027663;12.49587771682666;-2.088567174743991;137.70871587189333;-0.0180538451319841;-0.0272573190831679;-0.4582515838740011;-0.3142760965699873;-2.583066125351416;-0.0303002563997165;-0.0519435147908326
Mol08_PAC_aligned;-29.75139707446288;32.925341267313385;7.771003184978691;2.1832272808260016;-0.0826191649978574;-0.2381585241497174;142.1393958386386;-1.5689698764308877;-3.5055455912494624;-0.6585741176017308;-0.3724824304644616
Mol09_PAC_aligned;-7.431600557975374;8.720279648081164;-4.205132334339976;155.41451325340847;-0.0048087626678164;-0.0076201320445;-0.1951601136152665;-0.2181302001621852;-2.496829982966874;-0.0169536150996449;-0.0471982284106274
Mol10_PAC_aligned;-19.043955900488832;-13.757056625068174;0.5003150019105558;1.888445733594436;-0.0605818541863123;-0.2419192944438913;143.3979552633714;-2.447397015928185;4.245391718223291;-0.7661446993583023;-0.2389049798517958
Mol11_PAC_aligned;11.795003272582148;15.977437018248535;6.122823214823528;132.5427323542182;-0.0062752960320436;-0.0187497016403597;-1.7326361208496472;40.35381408667997;28.222782956658417;-0.0919976839087246;-0.1057344997225147
Mol12_PAC_aligned;20.041772886605955;9.844981644548035;6.647348873743374;-2.278087832304525;-0.0084259530915982;-0.0190753888558007;-0.4261707102615416;-1.953249655216792;138.39348273313533;-0.0333786662110321;-0.0796584244232456
Mol13_PAC_aligned;-17.073989368392557;-31.44347676638285;-3.1634385329846757;126.16881942189836;-0.0059666395935484;-0.0098497317529824;-0.2186258304238748;-0.2286312264173297;134.39937835373422;-0.0271267900069009;-0.2190395233928999
Mol14_PAC_aligned;-60.60765751246795;17.38392365758618;16.29687239289509;-1.793482844972913;-0.4566114815696439;-0.6850480650734126;1.0907737652991263;19.374152251620274;-2.3505977991560494;-2.6221163520565107;-1.1773777409225687
Mol15_PAC_aligned;61.60225063156239;24.656038133821845;-9.265009234749986;0.8081593997970287;-0.0214603430332046;-0.0314046040397863;-0.894525768749574;-0.3056158704922097;-4.244588715042228;-0.1395748438028995;-0.2836664441729715
Mol16_PAC_aligned;-11.386325698272351;85.8331872603132;1.5849446880381282;-3.275165245850654;-0.0124278198678163;-0.051937017334823;13.308195795686077;128.72284901747068;133.69067860847716;-0.1953587758268302;-0.1130444860720925
Mol17_PAC_aligned;11.85607888974352;5.3549117989037285;6.855122477217055;57.41366061299142;-0.0078353420712265;-0.034766400338967406;-1.459347021936831;133.97029516563424;25.06667419669812;-0.0692711501100622;-0.0753248955185598
Mol18_PAC_aligned;-28.64647109323149;22.573056058443143;-6.920349743357902;134.88646962734293;-0.0181940034063759;-0.0313981960398061;-1.2064569001747945;-0.4921276429210883;134.61951643787378;-0.1533798048300352;-0.2647746632314128
Mol19_PAC_aligned;38.84454110593214;29.066462338133817;13.072399358245844;2.292190354219576;-0.2357294573384976;-0.2575181508056646;132.43574982896877;133.28777982714604;-2.146541281516513;-1.8086372292685176;-0.3122792531606128
Mol20_PAC_aligned;11.695035280512926;40.26401645487178;-7.375499417958842;1.2613299005270526;-0.0050591176365414;-0.0107991491275398;-0.2955995184815203;-0.3099622108103003;56.309303227094;-0.0445783771681851;4.083604710358515
Mol21_PAC_aligned;-51.49670181717232;14.405444682247763;22.078469311159505;-0.8092365726896753;-1.4341463000756014;-0.9365044200714596;131.75577862927113;-1.3522699772893705;-2.446416347441478;-1.4608232909052683;-0.8839473776696856
Mol22_PAC_aligned;-66.46210474396463;33.375381673500925;5.915454657654415;3.2762365904715205;-0.0940050065352231;129.39729759820906;164.8962915540044;-4.642006573546338;-2.3727916591891653;-3.47799546566234;65.98548316477677
Mol23_PAC_aligned;-9.699757340574216;30.039111805572343;-1.4811833387263462;1.5145579413590249;-0.0755425564606073;-0.124776318197671;-3.2818804386390625;-0.4813655400905025;-2.499357352262813;-1.4452089476414751;-0.2440888005981714
Mol24_PAC_aligned;-83.56160911465778;6.232937960398726;2.730129516522656;3.390494212162205;-1.0000429236686328;-0.2953038532042858;-1.999095575166115;-0.3980356421813192;-3.77526512591705;-0.6176505511293817;-0.5419527572493034
Mol25_PAC_aligned;4.723577974921703;40.95745735264568;10.613551939202509;0.9593857315334182;-0.0442103909099799;-0.1128540167274212;0.5544356708060894;139.02757625105008;-2.519283669057656;-2.093373415335421;-1.0165662014966867
Mol26_PAC_aligned;-76.82221222791523;16.39592129661574;33.247752148592575;2.077469831460499;3.266125598592096;135.9697735183147;147.4155674096374;-1.4274859124717405;-1.942375542047975;-3.9597400955717768;-0.8537885932992162
Mol27_PAC_aligned;-84.6043864596623;47.52738545152941;11.008164760802025;3.204092979680982;-0.9029470311364864;5.783149507827893;151.84724311469216;-3.545900847141541;-2.0777541223125997;-4.587338951794738;-1.352169191856919
Mol28_PAC_aligned;31.718067606382405;20.9528376909744;12.614057720852117;2.631519730111947;-0.009793691808411699;-0.0173657539563023;-0.3975895026418407;-0.298884666146134;-5.967642409806933;-0.1034184468401522;137.6056000981848
Mol29_PAC_aligned;-87.84762837911327;26.328041428190843;-1.9777501656255476;2.114763411920696;-0.0754292056947392;-0.0472521216662671;-0.92840617727023;-0.3163757226400857;-3.9206880235201336;-0.2115419513974162;-0.0931821927238423
