;-9.00_1.00_1.00_NH3+_C:;-8.00_0.00_1.00_NH3+_C:;2.00_0.00_-8.00_NH3+_C:;3.00_1.00_-6.00_NH3+_C:;3.00_2.00_-6.00_NH3+_C:;-10.00_0.00_-1.00_NH3+_LJ:;-10.00_1.00_-1.00_NH3+_LJ:;-9.00_1.00_3.00_NH3+_LJ:;-2.00_4.00_-5.00_NH3+_LJ:;-1.00_7.00_2.00_NH3+_LJ:;3.00_1.00_-3.00_NH3+_LJ:;3.00_11.00_5.00_NH3+_LJ:;6.00_3.00_-6.00_NH3+_LJ:
Mol09;1.5605345311641283;1.58977647288501;22.64008128613093;-109.89849013515467;-243.31115736029025;-0.0103478092800241;-0.0110115516434719;-0.0123044336225663;-1.4962511288093814;2.946313710805244;128.76312911359727;-0.0782649118881833;1.322890140789234
Mol12;-80.08153713205004;-298.1085664460754;5.175792116578094;15.376676837706215;24.18733709025277;-1.255876457586257;-0.996487075325931;5.348601511267831;-1.1745531968956262;-1.6342039956445893;128.39107738098664;-0.05296966086421;-0.362181575887475
Mol14;1.3709229068351227;26.21218867806387;1.2840595391412908;9.45169815078251;17.98885349750027;126.6285174076665;100.00318196577368;-2.678116514536585;-1.1814890983973805;-2.02628376907371;128.36892758681367;-0.0571281828095809;-0.2982458264333811
Mol21;126.92022916793543;127.52265133048455;-6.891410978012619;0.4455631433246267;9.407971842059451;-2.0120641056424686;-2.1198928090804454;-1.046242440163574;-1.1597289340033614;-1.8752367869860842;128.37762050392996;-0.0580432999333435;-0.3375940074027668
Mol29;25.54790929971968;-195.0373418145128;2.960475051175002;13.58856959607089;21.1929230038312;23.7254567465474;-2.399813961099592;127.21305711460406;-1.2235974462629864;-2.777277005426055;128.38644028674054;-0.1189725254907323;-0.3611768626189169
Mol34;4.744068577135146;3.658733006442136;5.190749842916935;12.481542796183527;17.66619056952783;-0.1080329291951842;-0.113022547490901;-0.1495447654783514;-1.1583707667255694;-2.0735388784967914;127.77207929509763;-0.694082332679177;-0.8172942828606258
Mol39;4.064233132223219;2.170822334410293;-0.6784530188329008;4.293656493307637;8.809355965263514;-0.1184928757452378;-0.1226087810753021;-0.1455105569353377;-1.2166352319518254;-2.0449231787127267;127.77940457122304;-0.3600081106277297;-0.772445361628144
